,text
605,"('You Still , you', 1)"
606,"('In any case , you And you', 1)"
607,"('might very well might', 1)"
608,"(""If you are a business writer If you 're a business writer"", 1)"
609,"('going ever going', 1)"
610,"('Even And , even', 1)"
611,"('fifteen 15', 1)"
612,"('ago back', 1)"
613,"('will help us allow us', 1)"
614,"(""Because I am Since I 'm"", 1)"
615,"(""they have to they 've got to"", 1)"
616,"(""can not always be easy is n't always easy"", 1)"
617,"(""do not Do n't"", 1)"
618,"(""we will like to we 'd like to"", 1)"
619,"('I apologize , but Sorry', 1)"
620,"('Do you have any Any', 1)"
621,"('other people others', 1)"
622,"(""We have even We 've even got"", 1)"
623,"('know it is know', 1)"
624,"(""Although he is not And , even though he 's not"", 1)"
625,"('you are and ,', 1)"
626,"('people guys and gals', 1)"
627,"('they enjoy they actually enjoy', 1)"
628,"('In order to do so To do so', 1)"
629,"('Now So , now', 1)"
630,"(""you should you 're best to"", 1)"
631,"('inexpensive cheap', 1)"
632,"(""do not try do n't try"", 1)"
633,"('I am thinking about', 1)"
634,"(""There is n't"", 1)"
635,"('well really well', 1)"
636,"('In that case That way', 1)"
637,"('mean necessarily mean', 1)"
638,"(""It has it 's got"", 1)"
639,"('on on and on', 1)"
640,"('I Also I', 1)"
641,"('This is not a guarantee Not guaranteed', 1)"
642,"('very useful . We so useful , that we', 1)"
643,"('far very far', 1)"
644,"('You should show Show', 1)"
645,"('you are , so if', 1)"
646,"('Be sure So make sure', 1)"
647,"('know actually know', 1)"
648,"('It is possible to make You can also make', 1)"
649,"(""the only bait we have received the only bait we 've got"", 1)"
650,"('necessary completely necessary', 1)"
651,"(""you will have to you 'll have to"", 1)"
652,"('In order to help To help', 1)"
653,"('In order to find out To find out', 1)"
654,"(""We are always on We 're always on"", 1)"
655,"(""you are thinking you 're thinking"", 1)"
656,"(""you do not have to look any further you do n't have to look any further"", 1)"
657,"('not just not', 1)"
658,"(""We have Of course , we 've"", 1)"
659,"('It is simply another Just another', 1)"
660,"('or /', 1)"
661,"(""you have You 've got"", 1)"
662,"('thank So thank', 1)"
663,"(""they are They 're"", 1)"
664,"(""Do you not want Do n't want"", 1)"
665,"('good nifty', 1)"
666,"('Now Okay , now', 1)"
667,"('Remember that Remember ,', 1)"
668,"('You should get Get', 1)"
669,"('When Yet when', 1)"
670,"('Only free Just free', 1)"
671,"('It is probably right', 1)"
672,"('distract just distract', 1)"
673,"('Sometimes And sometimes', 1)"
674,"('Yes , Sure ,', 1)"
675,"('The Anywho , the', 1)"
676,"(""can not just ca n't"", 1)"
677,"('ensure make sure', 1)"
678,"('Maybe Maybe so', 1)"
679,"('Do you want to learn Want to learn', 1)"
680,"(""They are Plus , they 're"", 1)"
681,"('For example , let me Example : Let me', 1)"
682,"('It Of course , it', 1)"
683,"('you you simply', 1)"
684,"('misunderstand me get me wrong', 1)"
685,"('involved involved too', 1)"
686,"('discussing talking about', 1)"
687,"('all done Ahhhh all done', 1)"
688,"('Yes , he Sure he', 1)"
689,"(', as well , too', 1)"
690,"('The impact of But the impact', 1)"
691,"(""they are done they 're done"", 1)"
692,"(""It is hard to imagine And it 's hard to imagine"", 1)"
693,"(', and and', 1)"
694,"('And since And , since', 1)"
695,"('one million 1 million', 1)"
696,"(""I will talk about I 'll talk about"", 1)"
697,"('reason Why', 1)"
698,"('Okay Ok ,', 1)"
699,"('think probably think', 1)"
700,"('I hope like', 1)"
701,"('You should always always', 1)"
702,"('. It has and has', 1)"
703,"('many kinds', 1)"
704,"(""You need to you 'll need to"", 1)"
705,"(""take it 's"", 1)"
706,"(""there is Of course , there 's"", 1)"
707,"('but but also', 1)"
708,"(""That is the point And that 's the point"", 1)"
709,"(""I have admired I 've admired"", 1)"
710,"('what so what', 1)"
711,"('idea trick', 1)"
712,"('advice tips', 1)"
713,"('If you go So if you go', 1)"
714,"(""We are Today we 're"", 1)"
715,"('Make But make', 1)"
716,"('they try they also try', 1)"
717,"('Forget about Forget', 1)"
718,"('that is doing', 1)"
719,"('Five So there you have it : Five', 1)"
720,"('can not then really , what', 1)"
721,"('There So there', 1)"
722,"(""you have to be sure you 've got to make sure"", 1)"
723,"(""did not clearly did n't"", 1)"
724,"(""You will have to give You 've got to give"", 1)"
725,"(""We have we 've got"", 1)"
726,"('Actually In fact', 1)"
727,"(""That is is n't"", 1)"
728,"('You should create Always create', 1)"
729,"('It may seem obvious That may seem like an obvious point', 1)"
730,"(""it is hard it 's hard"", 1)"
731,"('It is one One', 1)"
732,"('build create', 1)"
733,"('Please remember , But hold on ,', 1)"
734,"(""will not be difficult wo n't be hard"", 1)"
735,"(""It is not It 's not"", 1)"
736,"('provide establish', 1)"
737,"('thank you thanks', 1)"
738,"(""it is possible it 's far likelier"", 1)"
739,"('We We then', 1)"
740,"('Of course , it is And that , of course , is', 1)"
741,"('Recently , I participated I recently participated', 1)"
742,"('When Plus , when', 1)"
743,"('only really only', 1)"
744,"('out there , and not all out there and not all', 1)"
745,"('we may be able to we might be able to', 1)"
746,"('Keep Just keep', 1)"
747,"('You can All you do is', 1)"
748,"('Very well Really', 1)"
749,"('you will clueless', 1)"
750,"('This So , of course , this', 1)"
751,"('It makes it difficult This makes it hard', 1)"
752,"(""You have you 've also got"", 1)"
753,"(""is 's just"", 1)"
754,"(', perhaps for for', 1)"
755,"(""it has it 's got"", 1)"
756,"('The And maybe the', 1)"
757,"('many a lot of', 1)"
758,"('You should make Make', 1)"
759,"('spectacular great', 1)"
760,"('I am sure I bet', 1)"
761,"('make sure make sure that', 1)"
762,"('If In case', 1)"
763,"(""you have to be you 've got to be"", 1)"
764,"(""I would be I 'd be"", 1)"
765,"('What is it that What', 1)"
766,"('He And he', 1)"
767,"(""It is But , that 's"", 1)"
768,"('sample relatively small', 1)"
769,"(""It is transforming it 's transforming"", 1)"
770,"('In addition , Plus ,', 1)"
771,"('you should always write always write', 1)"
772,"(""their size whether they 're big or small"", 1)"
773,"(""Even if you are confident Even if you 're confident"", 1)"
774,"('a place really a place', 1)"
775,"(""When they are at When they 're at"", 1)"
776,"(""That is good news . We That 's good news because we"", 1)"
777,"(""did you did n't"", 1)"
778,"('You should make make', 1)"
779,"('question ask', 1)"
780,"('worth it worth its weight in gold', 1)"
781,"('It Ideally , it', 1)"
782,"('Even After all , even', 1)"
783,"('term term ,', 1)"
784,"('purchasing buying', 1)"
785,"('this helpful , not only this is helpful not only', 1)"
786,"(""They are clichés They 're clichés"", 1)"
787,"('You Finally , you', 1)"
788,"('With And so , with', 1)"
789,"('Is After all , is', 1)"
790,"(""that has that 's got"", 1)"
791,"('And Still ,', 1)"
792,"('Please , you can Ask', 1)"
793,"(""you will need you 'll need"", 1)"
794,"(""It is not a Admittedly that 's no"", 1)"
795,"('learn figure out', 1)"
796,"('You can break Break', 1)"
797,"(""She is a recognized leader She 's also a recognized leader"", 1)"
798,"('They As such , they', 1)"
799,"(""When do n't"", 1)"
800,"('In order to make To make', 1)"
801,"(""which is that 's"", 1)"
802,"('can be repaired lacks', 1)"
803,"(""There would there 'd"", 1)"
804,"('Why But why', 1)"
805,"('It is okay Is it ok', 1)"
806,"('Yet , Yet', 1)"
807,"(""you are not It 's"", 1)"
